Code,Opština,Godina,Ukupno,Austrija,Italija,Francuska,Holandija,Nemačka,Švajcarska,Švedska,Ujedinjeno Kraljevstvo,Kanada,SAD,Australija,Ostale,Mađarska,Rusija,Nepoznata zemlja
70017,ALEKSANDROVAC,1981,821,26,12,158,1,176,394,6,0,10,9,12,9,,,8
70025,ALEKSINAC,1981,1714,410,3,124,16,702,305,43,1,2,10,23,55,,,20
70033,ARANĐELOVAC,1981,1161,295,5,160,4,348,174,31,8,17,11,28,71,,,9
70041,ARILJE,1981,353,19,2,92,25,121,18,13,0,0,41,10,6,,,6
70050,BABUŠNICA,1981,386,49,2,54,6,159,27,55,0,5,6,10,9,,,4
70068,BAJINA BAŠTA,1981,562,46,0,188,20,140,117,10,0,4,6,1,24,,,6
70076,BATOČINA,1981,1869,638,33,641,0,302,88,28,0,11,76,6,43,,,3
70084,BELA PALANKA,1981,215,34,0,47,8,77,4,7,0,1,10,5,20,,,2
70092,BARAJEVO /Beograd/,1981,964,227,1,147,2,433,50,50,4,4,0,12,26,,,8
70106,VOŽDOVAC /Beograd/,1981,5153,393,58,823,36,2183,365,326,44,225,223,131,184,,,162
70114,VRAČAR /Beograd/,1981,3088,91,32,454,43,965,377,216,74,153,287,81,211,,,104
70122,GROCKA /Beograd/,1981,2611,1076,4,328,5,693,55,267,7,8,58,22,50,,,38
70149,ZVEZDARA /Beograd/,1981,4765,392,24,628,44,1938,328,411,55,209,273,110,226,,,127
70157,ZEMUN /Beograd/,1981,5286,458,39,622,47,2471,275,373,71,177,198,288,158,,,109
70165,LAZAREVAC /Beograd/,1981,1430,639,1,196,2,418,47,41,10,20,22,14,6,,,14
70173,MLADENOVAC /Beograd/,1981,1810,814,4,207,45,454,51,124,4,14,21,27,31,,,14
70181,NOVI BEOGRAD /Beograd/,1981,2832,153,53,282,47,1183,245,240,47,97,130,79,147,,,129
70190,OBRENOVAC /Beograd/,1981,2535,1336,14,243,11,584,97,87,6,25,13,33,38,,,48
70203,PALILULA /Beograd/,1981,4016,306,37,560,31,1623,311,287,36,177,264,77,220,,,87
70211,RAKOVICA /Beograd/,1981,1636,143,16,155,10,693,145,153,11,71,51,28,67,,,93
70220,SAVSKI VENAC,1981,2029,82,30,272,26,724,178,131,66,108,153,57,119,,,83
70238,SOPOT /Beograd/,1981,748,330,0,126,7,178,19,35,4,2,10,7,21,,,9
70246,STARI GRAD /Beograd/,1981,3200,123,45,506,39,971,309,273,84,182,318,89,171,,,90
70254,ČUKARICA /Beograd/,1981,3758,247,23,669,47,1470,347,342,27,112,105,88,113,,,168
70262,BLACE,1981,506,56,0,62,1,224,21,94,2,11,3,4,14,,,14
70289,BOGATIĆ,1981,1169,588,0,108,35,313,50,17,4,2,13,13,20,,,6
70297,BOJNIK,1981,351,33,1,99,18,122,15,21,1,1,14,10,11,,,5
70319,BOLJEVAC,1981,1028,629,0,88,2,239,53,3,1,0,4,0,5,,,4
70327,BOR,1981,594,204,2,121,3,189,26,9,0,16,6,1,16,,,1
70335,BOSILEGRAD,1981,130,4,0,8,0,43,4,1,0,0,0,3,41,,,26
70343,BRUS,1981,764,20,4,317,3,183,201,0,0,0,9,12,8,,,7
70351,BUJANOVAC,1981,2017,83,5,72,5,724,1068,25,0,0,0,9,11,,,15
70360,VALJEVO,1981,1937,295,0,297,77,904,129,82,8,6,42,13,58,,,26
70378,VARVARIN,1981,2259,733,7,219,3,1123,44,60,0,0,31,13,17,,,9
70386,VELIKA PLANA,1981,4446,1217,20,1151,57,1167,460,105,7,18,81,35,90,,,38
70394,VELIKO GRADIŠTE,1981,3595,2053,724,195,7,416,99,58,4,3,0,3,27,,,6
70408,VLADIMIRCI,1981,1604,991,1,170,40,303,41,5,11,12,3,18,3,,,6
70416,VLADIČIN HAN,1981,415,8,46,39,15,235,29,12,0,1,4,5,14,,,7
70424,VLASOTINCE,1981,480,127,45,106,5,104,12,6,0,5,19,32,10,,,9
70432,VRANJE,1981,1330,109,1,292,0,554,219,32,8,6,25,25,39,,,20
70459,VRNJAČKA BANJA,1981,615,41,0,96,7,248,89,26,6,17,29,20,29,,,7
70467,GADŽIN HAN,1981,527,296,0,42,3,88,42,31,0,2,10,4,7,,,2
70475,GOLUBAC,1981,1379,673,29,143,22,211,245,10,1,4,11,8,10,,,12
70483,GORNJI MILANOVAC,1981,1073,49,0,345,22,401,76,38,9,14,44,38,28,,,9
70491,DESPOTOVAC,1981,5147,1580,7,1525,7,536,772,392,7,14,16,230,43,,,18
70505,DIMITROVGRAD,1981,289,23,0,87,1,97,13,25,0,0,0,13,10,,,20
70513,DOLJEVAC,1981,372,65,0,49,4,200,10,18,0,3,1,2,17,,,3
70521,ŽABARI,1981,3720,2121,147,537,5,554,198,61,20,0,24,16,10,,,27
